date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:29	10056/10056	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2019:10:41%20GMT	https://rossfairgrieve.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://rossfairgrieve.com/)
10:30:29	97184/97184	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2019:10:41%20GMT	https://rossfairgrieve.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://rossfairgrieve.com/)
10:30:31	64792/64792	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2015:45:09%20GMT	https://rossfairgrieve.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.6.3.1	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min5f94.js	(from https://rossfairgrieve.com/)
10:30:31	110563/110563	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2015:45:09%20GMT	https://rossfairgrieve.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.6.3.1	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min5f94.js	(from https://rossfairgrieve.com/)
10:30:34	33895/33895	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2009:52:03%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-shortcodes/js/plugins/modernizr/modernizr.min.js?ver=2.6.2	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-shortcodes/js/plugins/modernizr/modernizr.min61da.js	(from https://rossfairgrieve.com/)
10:30:36	9711/9711	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2009:52:03%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-shortcodes/js/plugins/elastislider/jquery.elastislide.min.js?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-shortcodes/js/plugins/elastislider/jquery.elastislide.min5010.js	(from https://rossfairgrieve.com/)
10:30:37	60013/60013	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/js/ut-scriptlibrary.min.js?ver=4.5.3.3	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/js/ut-scriptlibrary.minef38.js	(from https://rossfairgrieve.com/)
10:30:39	848/848	---MCZ	200	added ('OK')	text/xml	date:Mon,%2015%20Oct%202018%2009:30:39%20GMT	https://rossfairgrieve.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/xmlrpc0db0.php	(from https://rossfairgrieve.com/)
10:30:39	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Mon,%2023%20May%202016%2011:21:14%20GMT	https://rossfairgrieve.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-includes/wlwmanifest.xml	(from https://rossfairgrieve.com/)
10:30:41	58460/58460	---MC-	200	added ('OK')	application/json	date:Mon,%2015%20Oct%202018%2009:30:40%20GMT	https://rossfairgrieve.com/wp-json/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-json/index.html	(from https://rossfairgrieve.com/)
10:30:43	2204/2204	---MC-	200	added ('OK')	application/json	date:Mon,%2015%20Oct%202018%2009:30:42%20GMT	https://rossfairgrieve.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frossfairgrieve.com%2F	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-json/oembed/1.0/embed3340.json	(from https://rossfairgrieve.com/)
10:30:44	2289/2289	---MCZ	200	added ('OK')	text/xml	date:Mon,%2015%20Oct%202018%2009:30:44%20GMT	https://rossfairgrieve.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frossfairgrieve.com%2F&format=xml	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-json/oembed/1.0/embeda5e7	(from https://rossfairgrieve.com/)
10:30:46	792/792	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2015%20Oct%202018%2009:30:46%20GMT	https://rossfairgrieve.com/wp-content/plugins/leaflet-maps-marker/leaflet-georss.php?layer=all	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/leaflet-maps-marker/leaflet-georss7cfb.php	(from https://rossfairgrieve.com/)
10:30:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Oct%202018%2009:30:49%20GMT	http://rossfairgrieve.com/?wordfence_lh=1&hid=7563AB0A3A2C58461D1FC6D9A059917D	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/index687b.html	(from https://rossfairgrieve.com/)
10:30:50	2804/2804	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/images/overlay-pattern.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/images/overlay-pattern.png	(from https://rossfairgrieve.com/)
10:30:51	940/940	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/images/overlay-pattern2.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/images/overlay-pattern2.png	(from https://rossfairgrieve.com/)
10:30:52	2805/2805	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/images/overlay-pattern3.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/images/overlay-pattern3.png	(from https://rossfairgrieve.com/)
10:30:56	43178/43178	---MC-	200	added ('OK')	text/javascript	date:Mon,%2001%20Oct%202018%2017:56:18%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/camerasite/www.google-analytics.com/analytics.js	(from https://rossfairgrieve.com/)
10:30:57	133761/133761	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Aug%202015%2015:23:16%20GMT	https://rossfairgrieve.com/wp-content/uploads/2015/08/Tignes-Sunset.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2015/08/Tignes-Sunset.jpg	(from https://rossfairgrieve.com/)
10:30:59	24515/24515	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Oct%202016%2011:35:04%20GMT	https://rossfairgrieve.com/wp-content/uploads/2016/10/20161023-RossFairgrieve-ondark-Oswald-60H.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2016/10/20161023-RossFairgrieve-ondark-Oswald-60H.png	(from https://rossfairgrieve.com/)
10:31:00	1334/1334	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jul%202014%2015:21:07%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Microsoft-sm.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Microsoft-sm.png	(from https://rossfairgrieve.com/)
10:31:03	384010/384010	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Jul%202014%2018:01:34%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Iceland-8.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Iceland-8.jpg	(from https://rossfairgrieve.com/)
10:31:03	4425/4425	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jun%202017%2015:27:18%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/PCUK_sm.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/PCUK_sm.png	(from https://rossfairgrieve.com/)
10:31:05	136296/136296	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2009:31:02%20GMT	https://rossfairgrieve.com/blog/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/blog/index.html	(from https://rossfairgrieve.com/)
10:31:05	6259/6259	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jul%202014%2015:14:01%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/noc-sm3.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/noc-sm3.png	(from https://rossfairgrieve.com/)
10:31:05	1977/1977	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Jul%202014%2010:27:12%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/pepsico-nofrill-sm1.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/pepsico-nofrill-sm1.png	(from https://rossfairgrieve.com/)
10:31:06	5976/5976	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jun%202017%2015:35:31%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/UoO_sm.png	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/UoO_sm.png	(from https://rossfairgrieve.com/)
10:31:07	174/174	---MC-	200	added ('OK')	image/png	date:Mon,%2015%20Oct%202018%2009:31:06%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-portfolio/i/index.php?w=900&h=600	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-portfolio/i/indexc27d.png	(from https://rossfairgrieve.com/)
10:31:09	150745/150745	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:53%20GMT	https://rossfairgrieve.com/wp-content/uploads/2018/04/KAP-Poster-Image-1_web-1-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2018/04/KAP-Poster-Image-1_web-1-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:10	73260/73260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:08%20GMT	https://rossfairgrieve.com/work/karakoram-anomaly-project/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/karakoram-anomaly-project/index.html	(from https://rossfairgrieve.com/)
10:31:10	57999/57999	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:53%20GMT	https://rossfairgrieve.com/wp-content/uploads/2016/02/Nancy-frame-grab4-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2016/02/Nancy-frame-grab4-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:12	73267/73267	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:11%20GMT	https://rossfairgrieve.com/work/movember-foundation-nancys-story/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/movember-foundation-nancys-story/index.html	(from https://rossfairgrieve.com/)
10:31:13	63067/63067	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:54%20GMT	https://rossfairgrieve.com/wp-content/uploads/2017/02/Changin-Gears-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2017/02/Changin-Gears-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:13	91018/91018	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:54%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Moken-247-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Moken-247-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:14	72488/72488	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:54%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Iceland-12-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Iceland-12-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:14	73246/73246	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:13%20GMT	https://rossfairgrieve.com/work/being-moken/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/being-moken/index.html	(from https://rossfairgrieve.com/)
10:31:16	88597/88597	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:54%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Skipress1-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Skipress1-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:16	73249/73249	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:15%20GMT	https://rossfairgrieve.com/work/changing-gears/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/changing-gears/index.html	(from https://rossfairgrieve.com/)
10:31:17	95383/95383	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:55%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Lanta-thumbnail-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Lanta-thumbnail-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:18	73245/73245	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:16%20GMT	https://rossfairgrieve.com/work/ice-lights/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/ice-lights/index.html	(from https://rossfairgrieve.com/)
10:31:19	57198/57198	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:55%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/BFC-21-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/BFC-21-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:19	73246/73246	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:18%20GMT	https://rossfairgrieve.com/work/skipress-pr/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/skipress-pr/index.html	(from https://rossfairgrieve.com/)
10:31:20	60916/60916	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2014:45:55%20GMT	https://rossfairgrieve.com/wp-content/uploads/2014/07/Michael-Darren-TTYE-8-900x600.jpg	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/uploads/2014/07/Michael-Darren-TTYE-8-900x600.jpg	(from https://rossfairgrieve.com/)
10:31:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Oct%202018%2009:31:18%20GMT	https://rossfairgrieve.com/work/lanta-animal-welfare/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/lanta-animal-welfare/index.html	(from https://rossfairgrieve.com/)
10:31:22	14585/14585	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Jul%202018%2015:02:19%20GMT	https://rossfairgrieve.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.0.3	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/contact-form-7/includes/js/scriptsaead.js	(from https://rossfairgrieve.com/)
10:31:22	73253/73253	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:20%20GMT	https://rossfairgrieve.com/work/breaking-the-cycle/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/breaking-the-cycle/index.html	(from https://rossfairgrieve.com/)
10:31:23	73260/73260	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2009:31:22%20GMT	https://rossfairgrieve.com/work/train-to-your-environment/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/work/train-to-your-environment/index.html	(from https://rossfairgrieve.com/)
10:31:23	40880/40880	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Oct%202017%2015:49:07%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-portfolio/assets/vendor/lightGallery/js/lightgallery-all.min.js?ver=1.2.6	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-portfolio/assets/vendor/lightGallery/js/lightgallery-all.min578f.js	(from https://rossfairgrieve.com/)
10:31:24	2451/2451	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2009:40:45%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-portfolio/assets/js/jquery.scrollTo.min.js?ver=1.4.6	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-portfolio/assets/js/jquery.scrollTo.min5f04.js	(from https://rossfairgrieve.com/)
10:31:24	4693/4693	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2009:52:03%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-shortcodes/js/tabs.collapse.min.js?ver=1.0	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-shortcodes/js/tabs.collapse.min5152.js	(from https://rossfairgrieve.com/)
